id,source_id,kind,origin_id,title,url,author,summary_raw,event_time,status,created_at
659,417,medium:post,medium:65545a4ee8bce3ca4c9f6f30e133369bd65445f3,Voice Cloning with Consent,https://huggingface.co/blog/voice-consent-gate,,,2025-10-28 00:00:00+00,new,2025-11-18 16:50:11.837916+00
660,417,medium:post,medium:b9eaf80ef309b73116e2eec64e2d1f01dc166004,Streaming datasets: 100x More Efficient,https://huggingface.co/blog/streaming-datasets,,,2025-10-27 00:00:00+00,new,2025-11-18 16:50:12.211004+00
661,417,medium:post,medium:35d0a1e83058fde5458b845404642a8c666e7d6c,huggingface_hub v1.0: Five Years of Building the Foundation of Open Machine Learning,https://huggingface.co/blog/huggingface-hub-v1,,,2025-10-27 00:00:00+00,new,2025-11-18 16:50:12.937125+00
662,417,medium:post,medium:b513f7204a786bca4a539b8d6bc9a2552ae3e628,LeRobot v0.4.0: Supercharging OSS Robot Learning,https://huggingface.co/blog/lerobot-release-v040,,,2025-10-24 00:00:00+00,new,2025-11-18 16:50:13.315209+00
663,417,medium:post,medium:3234af9c624a19834adede9f71b425a5fc4aa159,Building the Open Agent Ecosystem Together: Introducing OpenEnv,https://huggingface.co/blog/openenv,,,2025-10-23 00:00:00+00,new,2025-11-18 16:50:13.682926+00
664,417,medium:post,medium:14ef4d88fe68cbdd1e07011b6da25336ccf14917,Hugging Face and VirusTotal collaborate to strengthen AI security,https://huggingface.co/blog/virustotal,,,2025-10-22 00:00:00+00,new,2025-11-18 16:50:14.40762+00
665,417,medium:post,medium:875957217e7739e7b4181cb63f2fcf5524f482c9,Sentence Transformers is joining Hugging Face!,https://huggingface.co/blog/sentence-transformers-joins-hf,,,2025-10-22 00:00:00+00,new,2025-11-18 16:50:14.780041+00
666,417,medium:post,medium:f1faf523d0005c9bc633a2c617ac115534ac0d9b,Supercharge your OCR Pipelines with Open Models,https://huggingface.co/blog/ocr-open-models,,,2025-10-21 00:00:00+00,new,2025-11-18 16:50:15.169827+00
667,417,medium:post,medium:f10b0d5c223f9c2d087e0089d417c8cdb70245e1,Unlock the power of images with AI Sheets,https://huggingface.co/blog/aisheets-unlock-images,,,2025-10-21 00:00:00+00,new,2025-11-18 16:50:15.540415+00
668,1,github:repo,mock-e863c14f-0,🔥 DevPulse Mock Signal — Quantization speedup #1,https://example.com/devpulse-mock-1,devpulse,Mock raw summary to validate pipeline.,2025-11-18 17:04:36.356983+00,enriched,2025-11-18 17:04:35.39114+00
669,1,github:repo,mock-744def9b-0,🔥 DevPulse Mock Signal — Quantization speedup #1,https://example.com/devpulse-mock-1,devpulse,Mock raw summary to validate pipeline.,2025-11-18 17:07:22.394796+00,enriched,2025-11-18 17:07:21.272142+00
670,1,github:repo,mock-f8b93eb1-0,🔥 DevPulse Mock Signal — Quantization speedup #1,https://example.com/devpulse-mock-1,devpulse,Mock raw summary to validate pipeline.,2025-11-19 15:15:15.69359+00,enriched,2025-11-19 15:15:14.187026+00
